observation_id,source_id,source_locator,source_metric_code,source_metric_label,source_value_text,source_unit,metric_family,project_metric,mapping_status,value_numeric,unit,statistic_type,category_label,category_lower_bound,category_upper_bound,category_bound_unit,metric_denominator_n,denominator_definition,sample_size,sample_population,observation_period_start,observation_period_end,temporal_evidence_status,geography,platform,service_type,vehicle_type,observation_level,evidence_type,value_provenance,earnings_layer,value_time_basis,working_time_basis,distance_basis,cost_boundary,currency,nominal_real_status,comparability_use,comparability_status,transformation_applied,transformation_formula,extraction_notes
SRC017-O001,SRC017,"Report p. 32, Figure 3.6",promo_impact_perception,Persepsi dampak promo terhadap kondisi kerja pengemudi,87.0%,percent,context,,source_defined_unmapped,87.0,percent,share,Perceived impact,,,,,Driver survey component; figure-specific n not stated in extracted text,1000,Ojol drivers in the INDEF-PPPI survey component; purposive sample,2025,2025,reference_period,Indonesia,multi-platform,mixed,motorcycle,sample_distribution,survey_perception,source_reported,,,,,,,,,,none,,"Perception evidence; not an observed change in earnings, orders, or deductions."
SRC017-O002,SRC017,"Report p. 32, Figure 3.6",promo_impact_perception,Persepsi dampak promo terhadap kondisi kerja pengemudi,13.0%,percent,context,,source_defined_unmapped,13.0,percent,share,No perceived impact,,,,,Driver survey component; figure-specific n not stated in extracted text,1000,Ojol drivers in the INDEF-PPPI survey component; purposive sample,2025,2025,reference_period,Indonesia,multi-platform,mixed,motorcycle,sample_distribution,survey_perception,source_reported,,,,,,,,,,none,,"Perception evidence; not an observed change in earnings, orders, or deductions."
SRC017-O003,SRC017,"Report p. 39, Figure 3.12",platform_loyalty_reason,Reasons for driver loyalty to an application when commission is a consideration,60.0%,percent,context,,source_defined_unmapped,60.0,percent,multi_response_share,More stable order volume,,,,,Driver survey component; multiple-response item; figure-specific n not stated in extracted text,1000,Ojol drivers in the INDEF-PPPI survey component; purposive sample,2025,2025,reference_period,Indonesia,multi-platform,mixed,motorcycle,sample_distribution,survey_preference,source_reported,,,,,,,,,,none,,Preference/reason share; percentages are not mutually exclusive and do not measure realized commission effects.
SRC017-O004,SRC017,"Report p. 39, Figure 3.12",platform_loyalty_reason,Reasons for driver loyalty to an application when commission is a consideration,58.0%,percent,context,,source_defined_unmapped,58.0,percent,multi_response_share,Comfortable/familiar with app,,,,,Driver survey component; multiple-response item; figure-specific n not stated in extracted text,1000,Ojol drivers in the INDEF-PPPI survey component; purposive sample,2025,2025,reference_period,Indonesia,multi-platform,mixed,motorcycle,sample_distribution,survey_preference,source_reported,,,,,,,,,,none,,Preference/reason share; percentages are not mutually exclusive and do not measure realized commission effects.
SRC017-O005,SRC017,"Report p. 39, Figure 3.12",platform_loyalty_reason,Reasons for driver loyalty to an application when commission is a consideration,31.0%,percent,context,,source_defined_unmapped,31.0,percent,multi_response_share,More attractive bonus/incentive,,,,,Driver survey component; multiple-response item; figure-specific n not stated in extracted text,1000,Ojol drivers in the INDEF-PPPI survey component; purposive sample,2025,2025,reference_period,Indonesia,multi-platform,mixed,motorcycle,sample_distribution,survey_preference,source_reported,,,,,,,,,,none,,Preference/reason share; percentages are not mutually exclusive and do not measure realized commission effects.
SRC017-O006,SRC017,"Report p. 39, Figure 3.12",platform_loyalty_reason,Reasons for driver loyalty to an application when commission is a consideration,27.0%,percent,context,,source_defined_unmapped,27.0,percent,multi_response_share,Better protection/insurance,,,,,Driver survey component; multiple-response item; figure-specific n not stated in extracted text,1000,Ojol drivers in the INDEF-PPPI survey component; purposive sample,2025,2025,reference_period,Indonesia,multi-platform,mixed,motorcycle,sample_distribution,survey_preference,source_reported,,,,,,,,,,none,,Preference/reason share; percentages are not mutually exclusive and do not measure realized commission effects.
SRC017-O007,SRC017,"Report p. 39, Figure 3.13",commission_platform_preference,Drivers preferring an app with 20 percent commission over an app with 10 percent commission,59%,percent,context,,source_defined_unmapped,59.0,percent,share,Prefers relatively higher 20% commission app,,,,,Driver survey component; figure-specific n not stated in extracted text,1000,Ojol drivers in the INDEF-PPPI survey component; purposive sample,2025,2025,reference_period,Indonesia,multi-platform,mixed,motorcycle,sample_distribution,survey_preference,source_reported,,,,,,,,,,none,,Preference between stated commission scenarios; not a realized deduction observation.
SRC017-O008,SRC017,"Report pp. 39-40, Figure 3.14",commission_service_difference_perception,Perceived difference in treatment/service between applications with different commission levels,79.0%,percent,context,,source_defined_unmapped,79.0,percent,share,Perceives any difference in treatment/service,,,,,Driver survey component; exact item base not stated in extracted text,1000,Ojol drivers in the INDEF-PPPI survey component; purposive sample,2025,2025,reference_period,Indonesia,multi-platform,mixed,motorcycle,sample_distribution,survey_perception,source_reported,,,,,,,,,,none,,Perception evidence; categories are preserved as reported and no missing residual category is inferred.
SRC017-O009,SRC017,"Report pp. 39-40, Figure 3.14",commission_service_difference_perception,Perceived difference in treatment/service between applications with different commission levels,32.0%,percent,context,,source_defined_unmapped,32.0,percent,share,Perceives significant difference,,,,,Driver survey component; exact item base not stated in extracted text,1000,Ojol drivers in the INDEF-PPPI survey component; purposive sample,2025,2025,reference_period,Indonesia,multi-platform,mixed,motorcycle,sample_distribution,survey_perception,source_reported,,,,,,,,,,none,,Perception evidence; categories are preserved as reported and no missing residual category is inferred.
SRC017-O010,SRC017,"Report pp. 39-40, Figure 3.14",commission_service_difference_perception,Perceived difference in treatment/service between applications with different commission levels,47.0%,percent,context,,source_defined_unmapped,47.0,percent,share,Perceives less significant difference,,,,,Driver survey component; exact item base not stated in extracted text,1000,Ojol drivers in the INDEF-PPPI survey component; purposive sample,2025,2025,reference_period,Indonesia,multi-platform,mixed,motorcycle,sample_distribution,survey_perception,source_reported,,,,,,,,,,none,,Perception evidence; categories are preserved as reported and no missing residual category is inferred.
