gap_id,gap,affected_research_questions,evidence_basis,analytical_effect,closure_treatment,intended_report_destination
S6GAP001,Complete same-observation gross-to-net chain is unavailable.,RQ1;RQ4;RQ5;RQ6;RQ7,S5FND006;S5V022,"driver_receipts_before_operating_cost, driver_side_platform_deduction, and fuel_cost are missing from a complete same-observation chain.",Carry as a material evidence boundary; do not impute or substitute source-defined net income.,Methodology / limitations — net reconstruction
S6GAP002,Matched transaction-level realized driver deduction evidence is absent.,RQ1;RQ6,S5FND004;S2C008;S2C017,Reported deduction categories and platform/regulatory statements cannot produce a realized deduction rate.,"Keep regulatory, platform-stated, driver-reported, and observed transaction layers separate.",Methodology / limitations — deductions
S6GAP003,Separate defensible driver fuel-cost observation is unavailable for the project net chain.,RQ1;RQ2;RQ6,S5FND002;S5FND006,Fuel cannot be isolated from the source-defined mixed fuel-plus-food/drink bundle for project-net subtraction.,Do not model fuel from reference prices without an eligible distance-efficiency chain.,Methodology / limitations — fuel
S6GAP004,Available cross-source cost bundle mixes work-related fuel with personal food/drink expenditure.,RQ1;RQ2,S5FND002,The 31.0% and 46.0% source-defined shares cannot be labeled project operating-cost shares.,Retain only as source-defined mixed spending evidence.,Results / limitations — cost boundary
S6GAP005,Working-hour basis remains source_reported_unspecified for the SRC029 hourly rate.,RQ4;RQ5;RQ6,S5FND005;S4UE001,The hourly rate cannot be relabeled as online-hour or productive-hour earnings.,Retain the exact denominator label.,Methodology / results — time denominator
S6GAP006,Distance basis is unresolved for a defensible per-kilometer earnings metric.,RQ4;RQ5,S2C012;S4-MD008,Paid-trip distance cannot silently stand in for total work-related operating distance.,No per-kilometer rate is derived.,Methodology / limitations — distance
S6GAP007,No directly_comparable cross-source evidence use exists.,RQ3;RQ7,S5V020,"Cross-source numerical figures remain comparison-with-caveat evidence, not pooled or national estimates.",Preserve comparable_with_caveat labels.,Methodology — comparability
S6GAP008,Twenty-four metric-specific denominators remain unresolved.,RQ3;RQ7,S5V018,Affected respondent-count interpretations require exclusion or explicit caveat.,Carry the denominator caveat into synthesis and reporting.,Methodology / limitations — denominators
S6GAP009,SRC013 reports an unresolved 62-versus-67 kabupaten/kota locality count.,RQ3;RQ7,S5V019,No single SRC013 locality count can be asserted as certain.,Retain the discrepancy explicitly.,Methodology / limitations — source consistency
S6GAP010,"Comparable platform-, service-, and vehicle-stratified economic outcomes are insufficient.",RQ3;RQ7,Analysis eligibility assessment; S5FND001-S5FND007,"Observed differences cannot be defensibly attributed to platform, service, or vehicle as comparative effects.",Limit synthesis to source/sample evidence.,Limitations — heterogeneity
S6GAP011,Available 2026 regulatory evidence does not establish one universal operative online-transport benchmark.,RQ1;RQ6;RQ7,SRC004;SRC005;SRC006;SRC007;SRC026,Announcements and platform statements cannot be collapsed into a universal legal or realized deduction rate.,Use evidence-layered reconciliation and not_assessable/outside_reference_scope outcomes.,Methodology / context — regulatory reconciliation
