source_id,source_title,publisher,source_type,source_url,publication_date,observation_period,geography,platform_scope,service_scope,vehicle_scope,sample_population,sampling_method,evidence_role,access_status,redistribution_status,primary_or_secondary,retrieval_date,stage1_status,key_limitations,notes
SRC001,Peraturan Menteri Perhubungan Nomor PM 12 Tahun 2019 tentang Pelindungan Keselamatan Pengguna Sepeda Motor yang Digunakan untuk Kepentingan Masyarakat,Kementerian Perhubungan,legal_text,https://hubud.kemenhub.go.id/regulasi/cari/3036,2019-03-11,2019-present subject to later amendments/related instruments,Indonesia,all applicable app providers,motorcycle passenger transport / app-based motorcycle use,motorcycle,,,legal framework; safety; cost-structure context,primary_page_and_document_found,link_or_metadata_only_until_redistribution_review,primary,2026-08-27,acquired_primary,Not a realized earnings or deduction source; scope must be read with later tariff instruments.,Useful for regulated cost components and safety obligations.
SRC002,Keputusan Menteri Perhubungan Nomor KP 667 Tahun 2022 tentang Pedoman Perhitungan Biaya Jasa Penggunaan Sepeda Motor yang Digunakan untuk Kepentingan Masyarakat yang Dilakukan dengan Aplikasi,Kementerian Perhubungan,legal_text,https://hubud.kemenhub.go.id/regulasi/cari/7416,2022-09-07,from 2022-09-07; amended by KP 1001/2022,Indonesia by tariff zones,all applicable app providers,motorcycle passenger transport,motorcycle,,,tariff regime; regulated fare components,primary_page_and_document_found,link_or_metadata_only_until_redistribution_review,primary,2026-08-27,acquired_primary,Amended by KP 1001/2022; use is period-bound.,JDIH/Hubud metadata shows status and relation to KP 1001.
SRC003,Keputusan Menteri Perhubungan Nomor KP 1001 Tahun 2022 tentang Perubahan atas KP 667 Tahun 2022,Kementerian Perhubungan,legal_text,https://jdih.dephub.go.id/peraturan/detail?data=EnUUAwj5fOs9ium7YhAKlt8W6K3JcfTsq4q9Hw34l1Nu8lwtPpgEiGM4qBqHiJ4Jwy4fWjw2I3DXw8LWNSqx1TL18Wzka8SnDqn8bURev8f7IX7AC8OA8cmUx5i52nkQsfqO6qLy6TaIsnXJGCELssy2iq,2022-11-22,effective 2022-11-22 until revoked according to JDIH metadata,Indonesia by tariff zones,all applicable app providers,motorcycle passenger transport,motorcycle,,,regulated application-use fee and support-cost framework,primary_page_and_document_found,link_or_metadata_only_until_redistribution_review,primary,2026-08-27,acquired_primary,Normative ceiling is not evidence of realized deductions. Service scope is passenger motorcycle tariff regime.,JDIH status recorded as Berlaku; includes up to 15% application-use fee and up to 5% support-cost component under defined conditions.
SRC004,Presidential communication on online-transport worker protection and revenue sharing,President of the Republic of Indonesia,official_implementation_announcement,https://presidenri.go.id/siaran-pers/presiden-prabowo-perkuat-perlindungan-ojol-pangkas-potongan-aplikator-dan-tingkatkan-kesejahteraan/,2026-05-01,policy announcement on 2026-05-01,Indonesia,online-transport platforms,online transport; scope requires legal-text verification,mixed/unspecified,,,policy announcement; regulatory implementation context,primary_page_found,link_only,primary,2026-08-27,acquired_primary_with_status_caveat,Announcement is not a substitute for operative legal text; later official communications create status/scope tension.,Kept separate from any Perpres or ministerial decision legal text.
SRC005,DPR communication on planned 8% commission implementation for two-wheel passenger services,DPR RI,official_implementation_statement,https://jdih.dpr.go.id/berita/detail/id/66332/,2026-06-23,planned implementation from 2026-07-01,Indonesia,Gojek and Grab named in communication,two-wheel passenger transport,motorcycle,,,implementation statement; fee-policy context,primary_page_found,link_only,primary,2026-08-27,acquired_primary_with_scope_caveat,Implementation statement is not operative legal text and does not establish transaction-level realized deductions.,Must be reconciled with service scope and later August 2026 official updates.
SRC006,DPR communication on continued finalization/harmonization of online-transport rules,DPR RI,official_status_update,https://jdih.dpr.go.id/berita/detail/id/68124/,2026-08-18,status as of 2026-08-18; no later operative Perpres text recovered through 2026-08-27,Indonesia,online-transport platforms,"passenger, goods and food services discussed",mixed/unspecified,,,regulatory-status and scope reconciliation,primary_page_found,link_only,primary,2026-08-27,acquired_primary_current_status_reference,Official DPR update says broader rule entered finalization/harmonization and targeted completion by end-August/early-September; it does not itself define operative tariff formulas.,As of 2026-08-27 no published operative Perpres text was verified.
SRC007,Keputusan Menteri Perhubungan Nomor KP-PHB 532 Tahun 2026 — instrument referenced by minister/platform statements; primary legal text still not recovered,Kementerian Perhubungan (instrument referenced by Minister/platform statements),legal_instrument_primary_text_pending,https://jatim.antaranews.com/berita/1081087/indrive-terapkan-komisi-sesuai-aturan-baru-transportasi-daring,2026,reported effective implementation from 2026-07-01; exact instrument text/effective clause pending,Indonesia,online-transport platforms,two-wheel service according to cited implementation statements,motorcycle,,,candidate operative fee rule requiring primary-text verification,multiple_corroborating_references_found_primary_text_pending,primary_text_not_verified,primary_instrument_unrecovered_secondary_corroboration,2026-08-27,legal_text_not_publicly_verified,As of 2026-08-27 no primary JDIH/legal text was verified. Secondary reporting quotes the Transport Minister saying the decision had been sent to applicators and notes it was not listed in JDIH on 2026-08-07.,8% references remain a separate evidence layer from realized deductions.
SRC008,inDrive applies 8% commission for two-wheel services after referenced KP-PHB 532/2026,ANTARA News / inDrive statement,platform_policy_press_report,https://jatim.antaranews.com/berita/1081087/indrive-terapkan-komisi-sesuai-aturan-baru-transportasi-daring,2026-07-11,implementation reported in July 2026,Indonesia / inDrive operating areas,inDrive,two-wheel transport service,motorcycle,,,platform-stated deduction implementation,press_report_found,link_only,secondary_reporting_company_statement,2026-08-27,usable_as_platform_stated_only,Not transaction-level evidence and not proof of universal realized deduction.,Useful only in platform-stated policy layer until transaction evidence is available.
SRC009,Laporan Tahunan Badan Kebijakan Transportasi Tahun Anggaran 2022,"Badan Kebijakan Transportasi, Kementerian Perhubungan",official_annual_report,https://ppid.dephub.go.id/fileupload/informasi-berkala/20240603141339.%5BEBOOK%5D_LAPORAN_TAHUNAN_BKT_TA_2022_%281%29.pdf,2023/2024 access; report covers 2022,2022,Indonesia; includes Jabodetabek study outputs,not platform-specific,motorcycle online transport survey referenced,motorcycle,Official report confirms existence of ATP/WTP ojol survey output,,provenance evidence for Kemenhub/BKT survey; policy-research context,primary_pdf_found,link_only_until_redistribution_review,primary,2026-08-27,context_only_verified,Annual report confirms the study but does not provide sufficient respondent-level methodology or metric definitions.,Detailed ATP/WTP report is excluded from quantitative use; regulatory outputs are assessed separately.
SRC010,Kenaikan Tarif Ojek Online di Mata Pengguna dan Pengemudi,Polling Institute,survey_report,https://www.scribd.com/document/729522247/Laporan-Rilis-Survei-Pengguna-dan-Driver-Ojek-Online-Polling-Institute-Agustus-2022?doc_id=729522247&download=true&order=697274307,2022-08,16-24 August 2022,"31 kabupaten/kota; mainly urban coverage",multiple platforms,online motorcycle/ride-hailing driver and user survey,motorcycle,810 drivers,"Multistage random sampling; face-to-face interviews; 20% random spot-check quality control",driver characteristics; income brackets; service mix; tenure; tariff/WTP perceptions,primary_report_reviewed,reuse_terms_not_confirmed,primary,2026-08-27,verified_with_caveats,Daily income is source-reported and not explicitly defined as gross or net; pre-pandemic/pandemic figures are recall responses within the 2022 survey; reported MoE is under a simple-random-sampling assumption.,Scribd is retained as the accessible source locator provided for this report.
