field_name,domain,data_type,unit_or_enum,definition,measurement_role,calculation_or_basis,required_for,comparability_notes
source_id,provenance,string,identifier,Unique source registry identifier.,source metadata,,all stages,Must trace to a registered source.
observation_id,provenance,string,identifier,Unique standardized observation identifier.,observation metadata,,Stages 2-6,Must trace to source_id and original record where possible.
value_provenance,provenance,enum,observed|source_reported|derived|modelled|scenario,How the analytical value was obtained.,classification,,Stages 2-6,Never mix classes silently.
publisher,provenance,string,text,Publisher or responsible organization.,source metadata,,Stage 1+,Preserve organization exactly enough for verification.
retrieval_date,provenance,date,YYYY-MM-DD,Date the evidence was retrieved.,source metadata,,Stage 1+,Required for web-accessed evidence.
observation_period_start,time,date,YYYY-MM-DD or documented partial date,Beginning of the observation period.,dimension,,all analytical use,Do not substitute publication date.
observation_period_end,time,date,YYYY-MM-DD or documented partial date,End of the observation period.,dimension,,all analytical use,Do not substitute retrieval date.
geography,dimension,string,named place/coverage,Geographic coverage of the observation.,dimension,,all analytical use,"National, provincial, city, zone, or other source-defined coverage."
platform,dimension,string,platform name or multi-platform,Platform represented by the observation.,dimension,,platform comparisons,Multi-platform observations cannot be allocated to individual platforms without evidence.
service_type,dimension,enum,passenger_motorcycle|food_delivery|parcel_courier|other_motorcycle_delivery|mixed|unknown,Service represented by the observation.,dimension,,service comparisons,Mixed/unknown service is not silently allocated.
vehicle_type,dimension,enum,motorcycle|car|mixed|unknown,Vehicle universe.,dimension,,primary-universe eligibility,Primary project universe is motorcycle.
sample_size,sample,number,persons/records/transactions,Reported sample size appropriate to the measure.,source metadata,,survey/study evidence,"Retain whether n refers to drivers, trips, days, or another unit."
recruitment_method,sample,string,text,How participants/records were recruited or sampled.,source metadata,,survey/study evidence,Needed to assess representativeness.
customer_facing_fare,earnings,number,IDR,"Fare or charge presented to the customer for the service component, excluding separately identifiable ancillary charges where possible.",monetary observation,,fare bridge,Not equivalent to driver gross earnings.
customer_service_fee,earnings,number,IDR,Customer-side application/service fee separately charged to the customer.,monetary observation,,fare bridge,Not automatically a driver-side deduction.
customer_other_charges,earnings,number,IDR,Other customer-side identifiable charges such as insurance or other fees.,monetary observation,,fare bridge,Preserve source labels/components.
driver_gross_service_earnings,earnings,number,IDR,"Driver earnings from service before driver-side deductions, excluding tips and separately identified incentives.",monetary observation,,gross-to-net analysis,Do not infer from customer payment unless source establishes the relationship.
driver_side_platform_deduction,deduction,number,IDR,Amount deducted from driver gross service earnings by the platform under the source-defined basis.,monetary observation,driver gross service earnings,deduction analysis,Must preserve deduction components when available.
driver_other_deductions,deduction,number,IDR,Other driver-side deductions not classified as platform commission.,monetary observation,driver gross service earnings or documented basis,deduction analysis,Do not merge with platform commission without evidence.
incentive_bonus,earnings,number,IDR,Platform or program incentive/bonus received by the driver.,monetary observation,,earnings decomposition,Separate from core service earnings.
tips,earnings,number,IDR,Voluntary customer tips received by the driver.,monetary observation,,earnings decomposition,Separate from core service earnings.
driver_receipts_before_operating_cost,earnings,number,IDR,Driver receipts after applicable driver-side deductions and including only explicitly identified receipt components.,derived or source-reported,,unit economics,Calculation must preserve whether incentives/tips are included.
fuel_cost,operating_cost,number,IDR,Work-related fuel expenditure for the observation period.,cost observation,,unit economics,Observed/source-reported fuel cost is distinct from modelled fuel cost.
fuel_volume,activity_input,number,liter or energy unit,Fuel or charging quantity attributable to work.,activity/input,,fuel analysis,Unit and allocation method required.
fuel_price_per_unit,activity_input,number,IDR/liter or IDR/energy unit,"Applicable fuel/charging price bound to product, period, and geography.",activity/input,,fuel modelling,Must not use a price from a mismatched period/product silently.
fuel_efficiency,activity_input,number,km/liter or equivalent,Vehicle fuel efficiency used or observed.,activity/input,,fuel modelling,"Observed, source-reported, or scenario status must be explicit."
maintenance_cost,operating_cost,number,IDR,Work-related maintenance and repair cost under the source-defined period.,cost observation,,unit economics,Preserve whether routine and major maintenance are included.
consumables_cost,operating_cost,number,IDR,"Work-related consumables such as tires, oil, brake components, or other source-defined consumables.",cost observation,,unit economics,Avoid duplication with maintenance if source bundles these.
mobile_data_cost,operating_cost,number,IDR,Work-related allocated mobile/data cost.,cost observation,,unit economics,Personal non-work share must not be assigned to driving without a method.
