decision_id,topic,decision,rationale,evidence_basis,stage_introduced,analytical_implication,report_destination,status
DEC001,research_universe,Primary analysis is restricted to app-based motorcycle work; car/taxi-online evidence is separate or contextual.,Motorcycle and car operating economics are structurally different and should not be pooled.,Stage 0 research design and eligibility rules,Stage 0,Vehicle-type comparisons require explicit separation.,Methodology - Scope,locked
DEC002,earnings_concepts,Customer-facing fare driver gross earnings driver receipts and net operating earnings must remain distinct concepts.,These amounts can differ because customer-side fees driver-side deductions incentives tips and operating costs occur at different layers.,Stage 0 research design and measurement dictionary,Stage 0,No source value may be relabelled across earnings layers without evidence.,Methodology - Measurement framework,locked
DEC003,tips_and_incentives,Tips and incentives are separated from core service earnings wherever evidence permits.,They may be conditional volatile or non-core and can materially affect apparent earnings.,Stage 0 research design and measurement dictionary,Stage 0,Core-earnings and total-receipts views may be reported separately.,Methodology - Earnings decomposition,locked
DEC004,operating_cost_boundary,Household and personal consumption is excluded from driver operating costs.,Food housing household electricity schooling and other personal consumption do not arise from operating the driving activity itself.,Stage 0 research design; Stage 1 IDEAS and Kompas source assessments,Stage 0,Reported net figures that subtract personal food or household spending are not project net operating earnings unless components can be separated.,Methodology - Cost classification; Limitations,locked
DEC005,fuel_cost,Fuel or charging is an operating cost while fuel volume efficiency price and work-related distance are activity or input measures.,This preserves the distinction between observed expenditure and modelled cost.,Stage 0 research design and rules R008-R011,Stage 0,Observed fuel expenditure is preferred; modelled fuel requires explicit compatible inputs.,Methodology - Fuel treatment,locked
DEC006,fuel_price_matching,Fuel-price inputs must be matched by fuel product effective date and geography where prices vary regionally.,Non-subsidized fuel prices can vary across regions and over time; a single national price can bias reconstructed cost.,Stage 0 rules; Stage 1 fuel-price source assessment,Stage 1,Reconstructed fuel costs and sensitivity analysis cannot use a national Pertamax price when regional prices differ.,Methodology - Fuel assumptions; Sensitivity analysis,locked
DEC007,distance_basis,Total work-related distance is preferred for fuel vehicle-wear and net-per-km analysis; paid-trip distance alone is not treated as total operating distance.,Pickup repositioning and deadheading also consume fuel time and vehicle life.,Stage 0 research design and rules R011/R016,Stage 0,Paid-trip-only distance requires a caveat or may make total-cost metrics ineligible.,Methodology - Activity denominators,locked
DEC008,time_basis,Online hours productive or engaged hours and ambiguous source-reported working hours remain separate.,They measure different exposure and utilization concepts and can produce materially different hourly earnings.,Stage 0 research design and rules R012-R014,Stage 0,Net earnings per online hour and per productive hour are separate metrics and cannot be silently substituted.,Methodology - Time denominators,locked
DEC009,capital_cost,Vehicle economic-cost and cash-flow views are kept separate to avoid double counting depreciation financing principal interest and lease payments.,Capital consumption and financing cash flow are different accounting concepts.,Stage 0 research design and rules R017-R021,Stage 0,Depreciation plus financing principal is prohibited in the same economic-cost metric; depreciation is not added again to a lease/rental cash-flow view.,Methodology - Capital cost treatment,locked
DEC010,regulatory_layers,Operative legal text official implementation statements platform-stated policies and realized driver deductions are separate evidence layers.,A rule or announcement does not establish what was actually deducted from a driver's transaction.,Stage 0 research design; Stage 1 regulatory source registry,Stage 0,No announced or stated fee rate is substituted for observed realized deduction.,Methodology - Regulatory reconciliation; Findings-related notes,locked
DEC011,fee_2026,The referenced 2026 8% policy is not coded as a universal realized driver deduction and KP-PHB 532/2026 is not treated as authoritative legal text until the primary instrument is verified.,Current evidence establishes references and implementation statements but not a verified operative text with complete scope calculation base and legal relation to earlier instruments.,Stage 1 SRC004-SRC008 and related assessments,Stage 1,Any 2026 fee comparison must bind service date scope and evidence layer before interpretation.,Methodology - Regulatory regime; Limitations,locked_pending_primary_text
DEC012,customer_driver_gap,Customer payment minus driver receipt is labelled customer-to-driver gap and not platform commission unless the source proves the entire gap is a driver-side commission.,The gap may include customer-side service fees insurance promotions taxes or other components.,Stage 0 rules R022-R024,Stage 0,Commission-rate calculations require matched driver gross earnings and driver-side deduction evidence.,Methodology - Deduction measurement,locked
DEC013,regulatory_reconciliation,Regulatory comparison follows legal text to effective date to service/scope to platform implementation to observed transaction to reconciliation status.,This prevents conclusions from mismatched regimes services or calculation bases.,Stage 0 research design and rule R029; Stage 1 fee-source assessments,Stage 0,Differences are initially classified as consistent with reference apparent difference requiring reconciliation not assessable or outside reference scope rather than legal compliance findings.,Methodology - Regulatory reconciliation,locked
DEC014,sampling,Convenience purposive community or other non-probability driver samples are not treated as nationally representative.,Geographic breadth does not by itself create probability-based population inference.,Stage 0 rule R043; Stage 1 INDEF IDEAS Fairwork and Polling Institute assessments,Stage 1,Sample estimates are described at the sample or covered-population level unless representative design is documented.,Methodology - Sampling; Limitations,locked
DEC015,secondary_sources,Secondary reports and mirrors may be used as corroboration or discovery evidence but quantitative use depends on verified definitions and provenance.,Secondary summaries can alter sample counts definitions periods or underlying source identity.,Stage 1 Polling Institute Kompas IDEAS and BKT source assessment,Stage 1,Quantitative ingestion is limited when the underlying source definition cannot be verified.,Methodology - Source assessment; Limitations,locked
DEC016,inflation,Nominal IDR source values are preserved; inflation-adjusted values are derived only for defensible cross-period comparison using documented compatible CPI.,Overwriting nominal observations would destroy provenance and can hide the transformation basis.,Stage 0 research design and rules R031-R033; Stage 1 BPS CPI sources,Stage 0,Every real-value result retains original nominal value index geography reference period and formula.,Methodology - Inflation adjustment,locked
DEC017,affordability,Affordability or purchasing-power context is analytically separate from driver unit economics.,Household expenditure poverty lines UMP/UMK and basic-needs indicators answer different questions from operating profitability.,Stage 0 research design and rules R034-R037,Stage 0,Context benchmarks are not subtracted as operating costs and do not by themselves establish legal underpayment or household welfare.,Methodology - Benchmarks; Discussion/Limitations,locked
DEC018,value_provenance,Every analytical value is classified as observed source-reported derived modelled or scenario.,Findings need to distinguish evidence from transformations and assumptions.,Stage 0 research design and rule R046,Stage 0,Derived modelled and scenario values must retain traceable inputs and cannot masquerade as observations.,Methodology - Provenance and reproducibility,locked
DEC019,comparability,Cross-source use is classified as directly comparable comparable with transformation comparable with caveat context only or not comparable.,Differences in concepts periods services vehicles denominators sampling and currency basis can invalidate pooling.,Stage 0 research design and rules R038-R042,Stage 0,Pooling is deferred until metric-level comparability is demonstrated; incompatibility is a valid result.,Methodology - Comparability framework,locked
DEC020,sustainability,Economic sustainability conclusions are not predetermined and should remain dimension-level unless multiple validated dimensions support a broader statement.,Unit economics alone cannot establish household welfare and different sustainability dimensions may disagree.,Stage 0 research design and rule R050,Stage 0,The final report must avoid a composite sustainability score or forced overall verdict without defensible evidence.,Discussion - Sustainability assessment,locked
DEC021,source_verification,Primary quantitative evidence is used only when its provenance definitions and relevant scope can be verified; otherwise its role is limited or excluded.,Lower-quality or incomplete evidence can distort unit-economics definitions and comparability.,Stage 1 source assessment,Stage 1,Unverified quantitative details are not inferred from secondary descriptions.,Methodology - Source validation; Limitations,locked
DEC022,decision_documentation,Material methodological decisions retain their rationale evidence basis analytical implication and intended report destination.,Important analytical choices can materially affect interpretation and should remain traceable through synthesis.,Stage 1 methodological governance,Stage 1,Final reporting must reflect the methodological decisions that materially affect findings.,Methodology and appendix,locked
DEC023,unavailable_detailed_evidence,A detailed study that cannot be verified is excluded from quantitative use; an authoritative downstream regulation may be assessed independently as regulatory evidence.,The existence of a supporting study does not establish its sample design metric definitions or numerical results.,Stage 1 BKT/Kemenhub ATP-WTP assessment and KP 564/2022 review,Stage 1,The BKT ATP/WTP detailed report is not used quantitatively while KP 564/2022 is treated separately as a historical legal source.,Methodology - Source validation; Limitations,locked
