decision_id,decision,rationale,evidence_basis,analytical_implication,intended_report_destination
S2D001,Preserve source-defined economic concepts before project mapping.,"The same words such as income, net income, cost, distance, and working time can represent materially different economic concepts.",Stage 0 concept gate; SRC010; SRC013; SRC029; SRC030,"Ambiguous source metrics remain source-defined rather than being forced into gross, receipts, net, total distance, or online-time metrics.",Methodology — measurement and standardization
S2D002,Use source_metric_code as a narrower semantic layer beneath the locked Stage 0 measurement dictionary.,Several valid source concepts do not have a safe one-to-one project metric and should not require reopening the locked Stage 0 dictionary.,Stage 2B schema; Stage 0 measurement dictionary,project_metric may remain blank while the observation stays usable for source-specific or contextual analysis.,Methodology — data architecture
S2D003,Add category_bound_unit as a Stage 2 implementation field.,"Numeric bracket bounds require a unit that may differ from value_numeric, which is often a respondent percentage.",SRC010 income brackets; SRC013 and SRC029 workload/deduction brackets,Bracket values can be parsed without losing the original category label or confusing percent values with IDR/time/activity bounds.,Methodology — standardization schema
S2D004,Write one standardized observation file per source rather than a pooled Stage 2 dataset.,"Source definitions, periods, samples, geographies, evidence layers, and denominators are not uniformly comparable.",Stage 0 comparability framework; Stage 1 coverage validation,Cross-source pooling is deferred until Stage 3 after Stage 2F comparability tagging and Stage 2G extraction validation.,Methodology — comparability and data flow
S2D005,Classify recalled historical earnings as retrospective_recall rather than independent historical waves.,SRC010 and SRC029 collect historical values retrospectively from respondents interviewed later.,SRC010; SRC029,Historical recall can support caveated context but is not treated as an independent panel or repeated cross-section.,Methodology — temporal evidence
S2D006,Keep fuel-plus-food/drink source bundles outside project operating-cost totals.,Food/drink is personal consumption rather than a driver operating cost under the locked project boundary.,SRC013; SRC029; Stage 0 operating-cost rule,Source-reported mixed cost values and ratios remain visible but cannot directly enter project net operating earnings.,Methodology — operating-cost boundary
S2D007,Keep driver-reported deduction categories separate from realized driver deduction rates.,Self-reported brackets do not establish matched transaction-level deduction amounts and gross earnings bases.,SRC013; SRC029; Stage 0 deduction framework,No realized_driver_deduction_rate is calculated from these survey percentages.,Methodology — deductions and regulatory evidence
S2D008,Leave source-reported daily distance unmapped when paid-trip versus total work-related distance is unresolved.,Fuel and vehicle-cost allocation depend materially on whether unpaid pickup and repositioning distance are included.,SRC013; SRC029; Stage 0 distance rules,Ambiguous distance cannot be used as total_work_related_distance_km without a later explicit scenario or stronger definition.,Methodology — workload and distance
S2D009,Map generic working time only to working_hours_source_reported.,The sources do not establish that generic work hours equal online or productive/engaged hours.,SRC013; SRC029; SRC030; Stage 0 time rules,Later hourly economics must retain the time-basis caveat and cannot silently substitute online/productive denominators.,Methodology — working-time measures
S2D010,Do not duplicate 2023 IDEAS quantitative observations from SRC013 when the canonical 2023 source SRC029 is available.,"SRC013 reproduces comparison values from the earlier IDEAS survey, which would otherwise double count the same underlying evidence.",SRC013; SRC029,2023 observations are standardized under SRC029 only unless SRC013 provides a distinct 2025 comparison metric needed later.,Methodology — source lineage and duplicate evidence
