rule_id,rule_name,decision_rule,analytical_implication,intended_report_destination
S3C-R01,Retain defensible locked project metrics,"When Stage 2 project_metric is populated and no semantic safeguard is violated, retain the locked project metric without changing source value, unit, basis, or provenance.","A retained mapping supports later project-metric analysis only within the observation's time, geography, service, vehicle, evidence, and comparability limits.",Methodology — measurement and harmonization
S3C-R02,Preserve source-defined or ambiguous earnings concepts,"Generic income and source-defined net income remain source-defined when they do not match the project gross, receipts, or net operating earnings definitions.",These observations may provide source-specific context but cannot be relabelled as project gross or net.,Methodology — earnings-layer comparability
S3C-R03,Separate driver-reported and realized deduction evidence,Driver-reported deduction categories or prevalence remain separate from transaction-level realized driver deductions and from regulatory or platform-stated fee rules.,Reported deduction prevalence cannot be used as an observed realized commission rate.,Methodology — deduction evidence layers
S3C-R04,Exclude mixed work-personal bundles from project operating costs,A cost bundle that combines work costs with personal or household expenditure remains outside project operating-cost totals unless components are separately reported.,Fuel-plus-food/drink bundles are not project fuel cost and are not included in project net operating earnings.,Methodology — operating-cost boundary
S3C-R05,Preserve working-time basis,Source-reported generic working time remains working_hours_source_reported and is not relabelled as online_hours or productive_or_engaged_hours.,Per-hour analysis must use only denominators compatible with the reported working-time basis.,Methodology — time denominators
S3C-R06,Preserve distance basis,Source-reported distance with an unresolved basis remains source-defined and is not relabelled as total_work_related_distance_km.,Ambiguous distance cannot directly drive fuel modelling or project per-km earnings.,Methodology — distance and fuel modelling
S3C-R07,Preserve temporal evidence class,Retrospectively recalled historical values remain retrospective_recall and are not treated as independent contemporaneous survey waves.,Historical trajectory analysis must identify recall evidence and avoid panel-wave interpretation.,Methodology — temporal comparability
S3C-R08,Keep perception and preference evidence contextual,"Survey perception, preference, and promotional-response evidence remains contextual unless the source directly measures the economic quantity required by the project.","Preference or perception values cannot substitute for realized earnings, deductions, or operating costs.",Methodology — evidence roles
S3C-R09,Retain use-specific comparability,Comparability is assessed for a defined analytical use and is not converted into a global property of a standardized observation.,"Later analysis must inherit directly_comparable, comparable_with_transformation, comparable_with_caveat, context_only, or not_comparable at the comparison-use level.",Methodology — comparability framework
S3C-R10,Do not manufacture a complete unit-economics chain,"Missing project-chain components remain missing; no residual, imputed, or inferred receipts, deductions, fuel cost, or project net operating earnings are created in Stage 3C.",Observed component analysis remains distinct from later modelled or scenario reconstruction.,Methodology — unit economics and reconstruction
