decision_id,stage,decision,rationale,evidence_basis,analytical_implication,intended_report_destination
S3-MD001,Stage 3B,Preserve standardized source observations without cleaning by deletion or value replacement.,"Stage 3 cleaning is an integrity and eligibility process, not a license to overwrite source evidence.",Stage 2 standardized files and Stage 3B validation.,All 72 standardized observations remain available with explicit eligibility and caveats.,Methodology — cleaning and evidence preservation
S3-MD002,Stage 3B,Keep unresolved metric-specific denominators missing rather than substituting source sample size.,A source-level sample size is not automatically the denominator for every reported metric.,Stage 2 validation S2V025 and Stage 3B S3B020.,Analyses requiring respondent counts must exclude or caveat affected observations.,Methodology — denominators and missingness
S3-MD003,Stage 3B,Preserve the SRC013 62-versus-67 locality discrepancy.,The source contains internally inconsistent geography counts and Stage 3 has no authoritative basis to resolve them silently.,SRC013 source evidence; Stage 2 and Stage 3B validations.,No single locality count is asserted as certain.,Methodology — source limitations
S3-MD004,Stage 3C,Retain source-defined and contextual concepts when they do not match the locked project measurement framework.,"Generic income, source-defined net, mixed cost bundles, perception/preference, generic working time, and ambiguous distance are not interchangeable with project unit-economics metrics.",Stage 0 measurement dictionary; Stage 2 semantic safeguards; Stage 3C harmonization assessment.,Only defensibly mapped observations enter project-metric analysis; other observations remain descriptive or contextual.,Methodology — semantic harmonization
S3-MD005,Stage 3C,Keep driver-reported deduction evidence separate from realized transaction deductions and regulatory/platform fee layers.,These evidence layers answer different questions and are not numerically interchangeable.,Stage 0 deduction-layer rules and Stage 2 comparability assessment.,Reported deduction prevalence cannot be used as a realized commission rate.,Methodology — deduction evidence layers
S3-MD006,Stage 3D,"Preserve nominal monetary values and defer primary inflation adjustment for S2C001, S2C002, and S2C005.","The currently registered CPI evidence does not provide a sufficiently matched price-period, geography, and base-regime bridge for a primary transformation.",Stage 2 comparability assessment; Stage 3 transformation reference registry and decision log.,No primary real-value comparison is produced for the three inflation-required uses.,Methodology — monetary transformation eligibility
S3-MD007,Stage 3D,Do not ratio CPI index levels directly across incompatible base-year regimes.,BPS CPI base and geographic coverage changed across the relevant periods.,Stage 3 transformation reference registry.,"Any later sensitivity transformation requires explicit CPI source, geography, period, formula, and caveat metadata.",Methodology — CPI compatibility
S3-MD008,Stage 3E,Create a source-preserving processed evidence register rather than a pooled estimate table.,"The evidence contains heterogeneous definitions, sample frames, geographies, and comparability classes.",Stage 3C semantic eligibility and Stage 3E analytical eligibility.,All observations remain traceable while inappropriate cross-source pooling is blocked.,Methodology — analytical dataset construction
S3-MD009,Stage 3E,Keep comparability specific to a defined analytical use.,The same observation may be usable for one analytical question and unusable for another.,Stage 2 comparability assessment and Stage 3E analysis eligibility.,No global comparability label is attached to processed observations.,Methodology — comparability framework
S3-MD010,Stage 3E,Do not construct observed project net operating earnings from incomplete source components.,"The evidence lacks a complete same-observation chain of gross earnings, realized deductions, receipts, and project-compatible operating costs.","Stage 2 S2V031, Stage 3B S3B023, and Stage 3E validation.","Later analytical use may assess available components or scenarios, but must not represent them as an observed full gross-to-net chain.",Methodology — unit-economics reconstruction limits
