assessment_id,source_id,intended_use,evidence_class,comparability_status,assessment_status,rationale
ASM001,SRC001,define safety and regulated cost-structure concepts,normative_legal,context_only,usable,"Primary legal text; suitable for legal and cost-structure context, not realized driver economics."
ASM002,SRC002,define 2022 tariff-zone regime,normative_legal,directly_comparable,usable_with_period_binding,Primary legal text for the 2022 passenger-motorcycle tariff regime.
ASM003,SRC003,define application-use/support-fee regulatory reference from 2022-11-22,normative_legal,directly_comparable,usable_with_scope_binding,JDIH provides the normative benchmark within covered passenger-motorcycle scope; normative ceilings remain distinct from observed deductions.
ASM004,SRC004,support May 2026 policy-announcement chronology,official_implementation_statement,context_only,usable_with_status_caveat,Official presidential communication establishes an announcement layer but not complete operative legal text.
ASM005,SRC005,support planned 8% implementation chronology for named two-wheel passenger services,official_implementation_statement,context_only,usable_with_scope_caveat,Official DPR communication is implementation evidence rather than transaction evidence.
ASM006,SRC006,support August 2026 regulatory-status reconciliation,official_status_update,context_only,usable,Official status update demonstrates continuing finalization/harmonization for broader service scope.
ASM007,SRC007,treat KP-PHB 532/2026 as authoritative legal fee rule,normative_legal_candidate,not_comparable,not_yet_eligible_primary_text_missing,Multiple sources corroborate references to KP-PHB 532/2026 but the primary legal text and full scope/calculation base remain unverified.
ASM008,SRC008,record inDrive stated 8% commission policy,company_reported_via_press,comparable_with_caveat,usable_as_platform_stated_only,Documents a company-stated implementation layer rather than universal realized deduction.
ASM009,SRC009,use BKT annual report as quantitative ATP/WTP evidence,official_report,context_only,not_used_for_quantitative_analysis,The annual report confirms the study existed but does not provide sufficient respondent methodology or metric definitions for quantitative use.
ASM010,SRC010,use Polling Institute 2022 driver income and service distributions,survey_report,comparable_with_caveat,usable_with_caveat,"Primary report content documents 810 drivers across 31 kabupaten/kota using multistage random sampling; daily income wording remains source-defined and national representativeness should not be overstated."
ASM012,SRC011,support logged-in-hours and work-related-cost definitions,research_report,comparable_with_caveat,usable_methodologically,Fairwork 2022 is useful for process and methodological cost/time concepts but its small purposive worker interviews are non-representative.
ASM013,SRC011,estimate national driver earnings distribution,research_report,not_comparable,not_eligible_for_population_estimate,Fairwork worker interviews are not designed to estimate population prevalence.
ASM014,SRC012,cross-check platform practices and fair-pay/work-cost treatment in 2025,research_report,comparable_with_caveat,usable_methodologically,Fairwork Indonesia 2025 is Jakarta-based and purposive; it supports process evidence rather than national prevalence.
ASM015,SRC013,use IDEAS 2025/2026 primary brief for aggregate driver economics,survey_policy_brief,comparable_with_caveat,usable_with_caveat,"Primary brief provides gross earnings, orders, distance, workdays, source-reported hours, deduction brackets and bonuses; locality count is internally inconsistent and operating-cost bundle includes food/drink."
ASM016,SRC013,use IDEAS source-reported net income as project net operating earnings,survey_policy_brief,not_comparable,not_eligible,The source operating-cost bundle includes personal food/drink and therefore does not match the project operating-cost boundary.
ASM017,SRC013,use driver-reported deduction brackets,survey_policy_brief,comparable_with_caveat,usable_as_driver_reported_only,Deduction brackets are self-reported responses rather than matched transaction-level realized deductions.
ASM018,SRC015,inflation-adjust province-level nominal monetary observations from 2025,official_statistics,comparable_with_transformation,eligible,Official BPS CPI supports transparent real-value transformation when geography and period match.
ASM019,SRC016,inflation-adjust city-level nominal monetary observations from 2025,official_statistics,comparable_with_transformation,eligible,Official BPS city CPI is preferred where the observation city is covered.
ASM020,SRC017,use INDEF-PPPI survey as national population estimate of driver economics,survey_research,not_comparable,not_eligible_for_national_population_claim,Survey components use purposive sampling despite national geographic scope.
ASM021,SRC017,use INDEF-PPPI driver survey for sample-level ecosystem comparisons,survey_research,comparable_with_caveat,usable_with_caveat,Primary report supports sample-level perception and ecosystem analysis; purposive sampling and metric definitions constrain generalization.
ASM022,SRC017,use INDEF-PPPI CGE outputs as driver unit-economics observations,modelled_macro,not_comparable,not_eligible,CGE outputs are modelled ecosystem effects rather than driver-level observed earnings or costs.
ASM023,SRC018,use Litbang Kompas gross daily earnings distribution,secondary_survey_summary,comparable_with_caveat,secondary_only,Secondary reporting provides useful categories but final sample count and original sampling frame remain unresolved.
