rule_id,rule_group,metric_or_decision,condition,eligible_status,action_if_failed,rationale
R001,research_universe,primary_universe,vehicle_type == motorcycle,eligible,retain as primary evidence,Primary project universe is app-based motorcycle work.
R002,research_universe,car_or_mixed_vehicle,vehicle_type == car or mixed,context_or_separate_universe,do not pool with motorcycle observations,Vehicle economics are structurally different.
R003,concept,customer_fare_vs_driver_earnings,customer-facing amount and driver gross earnings are separately defined,eligible,otherwise keep fields separate and avoid bridge inference,Customer payment is not driver gross earnings.
R004,concept,driver_receipts,source identifies whether value is pre- or post-deduction and whether incentives/tips are included,eligible,otherwise retain source label with caveat,Generic 'income' cannot be reclassified silently.
R005,tips_incentives,tips,tips separately identified where possible,eligible,"if bundled, record bundle and block core-earnings decomposition",Tips are not core service earnings.
R006,tips_incentives,incentives,incentives/bonuses separately identified where possible,eligible,"if bundled, record bundle and caveat dependence analysis",Incentives may be temporary or conditional.
R007,operating_cost,household_expense,expense is directly attributable to driving work,eligible_operating_cost,otherwise exclude from operating-cost calculation,Household/personal consumption is not an operating cost.
R008,fuel,observed_fuel_cost,fuel expenditure directly observed or source-reported for matching work period,eligible,retain as observed/source-reported fuel cost,Preferred over modelled fuel when definitions are adequate.
R009,fuel,modelled_fuel_cost,"compatible work-related distance, fuel efficiency, and fuel price are all explicit",eligible_modelled,otherwise do not calculate,Modelled fuel must not fill unavailable observed values silently.
R010,fuel,fuel_price_match,"fuel price matches product, period, and geography sufficiently for intended use",eligible,otherwise scenario/caveat or not comparable,"Fuel prices vary over time, product, and sometimes geography."
R011,distance,fuel_allocation_distance,total work-related distance is available,preferred,"if only paid-trip distance exists, require explicit caveat or scenario",Unpaid operating distance also consumes fuel and vehicle wear.
R012,time,online_hour_metric,online_hours > 0 and covers same population/activity period as numerator,eligible,otherwise do not calculate net earnings per online hour,Online hours measure time commitment.
R013,time,productive_hour_metric,productive_or_engaged_hours > 0 and definition matches numerator,eligible,otherwise do not calculate productive-hour metric,Productive hours are not interchangeable with online hours.
R014,time,source_reported_hours,only ambiguous working_hours_source_reported is available,eligible_with_caveat,retain source definition and do not relabel as online/productive,Hour semantics materially affect hourly earnings.
R015,orders,per_order_metric,order_count > 0 and numerator covers same period/service/population,eligible,otherwise do not calculate,Numerator and denominator must be compatible.
R016,distance,per_km_metric,distance > 0 and numerator covers same activity/period,eligible,prefer total_work_related_distance_km; caveat paid-trip-only basis,Paid distance understates operating exposure if unpaid km exist.
R017,capital,economic_owned_vehicle,depreciation is used for owned vehicle,eligible,exclude financing principal from same economic-cost metric,Prevents capital-cost double counting.
R018,capital,financing_interest,interest/fees separately measured when added to depreciation,eligible,"if not separable, do not infer interest from total installment",Principal and interest have different economic treatment.
R019,capital,cash_financing,loan installment or principal cash outflow used in cash-flow view,eligible,do not also deduct depreciation in same cash-flow metric,Cash-flow and economic-cost views must remain distinct.
R020,capital,leased_vehicle,lease/rental payment represents vehicle access,eligible,do not add driver-level depreciation for same vehicle use,Lease already represents access cost to driver.
R021,capital,undivided_installment,source reports installment without principal/interest split,cash_flow_only,do not classify as depreciation or interest,Avoid unsupported decomposition.
R022,deduction,realized_deduction_rate,driver_side_platform_deduction and driver_gross_service_earnings are explicitly matched,eligible,otherwise do not calculate realized deduction rate,Realized rate must use driver-side deduction basis.
R023,deduction,customer_to_driver_gap,customer and driver amounts are transaction/definition matched,eligible_gap_metric,label only as customer-to-driver gap,"Gap can contain customer-side fees, insurance, promotions, taxes, or other components."
R024,deduction,gap_as_commission,source explicitly proves entire matched customer-to-driver gap is driver-side commission,eligible_as_commission,otherwise prohibited,Customer-to-driver gap is not automatically platform commission.
R025,regulation,regulatory_rule,authoritative legal text is accessible and exact scope/effective date/calculation basis are documented,authoritative_normative,otherwise classify as announced/reported rule only,"Legal benchmark requires the operative text, not only commentary."
R026,regulation,official_implementation_statement,government/regulator states implementation status,contextual_implementation,store separately from legal text and realized transactions,Implementation statement is a distinct evidence layer.
R027,regulation,platform_stated_policy,platform publishes policy/implementation,company_reported,store separately from realized transaction evidence,Company statement does not prove universal realized application.
R028,regulation,driver_reported_deduction,driver or driver study reports deduction without transaction record,source_reported_with_sampling_limits,preserve sampling and measurement limitations,Self-report is useful but not automatically nationally representative.
R029,regulation,reconciliation,"legal/official reference and realized evidence share service, period, geography/scope, and calculation basis",assessable,assign reconciliation status,Differences must be reconciled before interpretation.
R030,regulation,legal_compliance_claim,project has only economic/observational comparison,not_authorized_by_default,use consistency/reconciliation language instead,Legal compliance determinations require legal analysis beyond a simple numeric comparison.
R031,inflation,nominal_preservation,source reports nominal IDR,required,preserve original nominal value,Inflation adjustment must not overwrite source values.
R032,inflation,real_currency,cross-period monetary comparison needs purchasing-power adjustment and compatible CPI is available,eligible_derived,"document CPI series, geography, reference period, and formula",Real-value analysis is derived evidence.
R033,inflation,cross_period_nominal,materially different periods are compared only in nominal terms,caveat_or_not_comparable,prefer real adjustment where appropriate,Inflation can distort monetary comparisons.
R034,affordability,basic_needs_prices,basic-needs/household prices are used,context_only_or_scenario,keep outside driver operating costs,Household consumption is analytically separate from unit economics.
R035,affordability,arbitrary_basket,researcher-created needs basket lacks explicit scenario justification/method,not_eligible,do not present as welfare threshold,Avoid arbitrary adequacy conclusions.
R036,benchmark,ump_umk,benchmark matches geography/period and conversion assumptions are explicit,contextual_comparison,do not state legal underpayment from conversion alone,Minimum-wage benchmarks have specific legal definitions.
R037,benchmark,poverty_line_household_expenditure,official indicator definition and unit are compatible with intended affordability question,contextual_comparison,do not subtract from driver operating earnings,Context benchmark is not an operating cost.
R038,comparability,direct,"economic concept, units, period/regime, geography, platform/service, vehicle, denominators, incentives/tips, sampling, and currency basis are materially aligned",directly_comparable,allow direct comparison,No material transformation or caveat required.
R039,comparability,transformation,difference can be reconciled with a transparent valid transformation without changing substantive meaning,comparable_with_transformation,document formula and inputs,Transformation must be reproducible.
R040,comparability,caveat,comparison is informative but at least one material limitation remains,comparable_with_caveat,state caveat in analysis and findings,Useful evidence can remain imperfect.
R041,comparability,context,evidence informs context but should not enter pooled metric/ranking,context_only,exclude from pooled quantitative comparison,Prevents false precision.
R042,comparability,incompatible,economic concept or denominator is materially incompatible and cannot be defensibly transformed,not_comparable,do not pool or directly compare,Incompatibility is a valid finding.
R043,sampling,representativeness,probability/representative design is documented for claimed population,eligible_for_population_claim,otherwise restrict inference to sample/coverage,Convenience/community samples are not national estimates.
R044,missingness,missing_values,value unavailable,missing,preserve missing status; never replace with zero,Zero and unavailable are different states.
R045,data_integrity,imputation,interpolation/imputation/winsorization would be required to create observation,not_allowed_by_default,do not perform silently; scenario only if explicitly justified,Preserve source evidence and uncertainty.
R046,provenance,value_class,"value provenance is observed, source_reported, derived, modelled, or scenario",required,block synthesis if unclassified,Findings must distinguish evidence from assumptions.
R047,calculation,derived_metric,"all inputs, units, transformations, and formula are traceable",eligible,otherwise fail calculation gate,Derived metrics must be reproducible.
R048,scenario,scenario_value,assumptions are explicit and separated from observed/source-reported evidence,eligible_scenario,otherwise block scenario result,Scenarios must not masquerade as observations.
R049,synthesis,finding_support,all evidence supporting finding passes applicable critical gates,eligible_for_finding,"otherwise caveat, contextualize, or mark unsupported",Findings come only from validated evidence.
R050,sustainability,overall_claim,multiple relevant dimensions are validated and consistent enough for an overall statement,eligible_with_scope,otherwise report dimension-level findings only,Economic sustainability must not be predetermined or forced into one score.
