comparison_id,comparison_use,metric_concept,source_ids,observation_ids,stage2_comparability_status,stage2_required_transformation,stage3d_transformation_eligibility,stage3d_transformation_action,primary_analysis_eligibility,allowed_use,prohibited_use,critical_caveats,analytical_note
S2C001,cross_period_gross_daily_earnings,explicit gross driver earnings,SRC013;SRC029,SRC029-O001;SRC013-O001,comparable_with_transformation,Inflation-adjust nominal IDR/day to a common price period using geographically compatible CPI where defensible.,deferred_not_currently_defensible,preserve_nominal_no_primary_real_value,not_eligible_for_primary_transformed_comparison,Caveated comparison of source-sample gross daily earnings after documented inflation treatment.,National trend inference; direct welfare conclusion; unadjusted nominal level comparison.,The 2023 observation is a Jabodetabek purposive sample; the 2025 observation has broader purposive coverage with an internal 62/67-locality discrepancy. Sampling frames and geography differ.,Eligibility remains specific to this comparison use and must not be generalized to all observations from the same source or metric family.
S2C002,within_src029_recalled_gross_trajectory,recalled explicit gross driver earnings,SRC029,SRC029-O002;SRC029-O003;SRC029-O004,comparable_with_transformation,Inflation-adjust recalled nominal IDR/day values to a common price period if level comparison is performed.,deferred_not_currently_defensible,preserve_nominal_no_primary_real_value,not_eligible_for_primary_transformed_comparison,Caveated within-source recalled trajectory or sensitivity context.,"Treating 2018-2019, 2020-2021, and 2022-2023 as repeated cross-sections or panel waves.",All values are retrospective recall from longer-tenure respondents interviewed in 2023; they are not independent historical survey waves.,Eligibility remains specific to this comparison use and must not be generalized to all observations from the same source or metric family.
S2C003,within_src010_income_distribution_over_time,source-defined daily income distribution,SRC010,SRC010-O001;SRC010-O002;SRC010-O003;SRC010-O004;SRC010-O005;SRC010-O006;SRC010-O007;SRC010-O008;SRC010-O009;SRC010-O010;SRC010-O011;SRC010-O012;SRC010-O013;SRC010-O014;SRC010-O015;SRC010-O016;SRC010-O017;SRC010-O018,comparable_with_caveat,None in Stage 2; nominal bracket thresholds cannot be converted to real-income brackets without microdata.,no_transformation_required,retain_source_value_and_comparability_status,eligible_with_caveat,Within-source comparison of reported nominal income-category distributions with explicit recall and bracket caveats.,Mapping to gross/net earnings; real-income distribution comparison; independent-wave interpretation.,Income layer is unspecified; pre-pandemic and pandemic values are retrospective recall; fixed nominal brackets do not represent constant purchasing-power thresholds.,Eligibility remains specific to this comparison use and must not be generalized to all observations from the same source or metric family.
S2C004,src010_vs_explicit_gross_earnings,daily income versus explicit gross earnings,SRC010;SRC013;SRC029,SRC010-O013;SRC010-O014;SRC010-O015;SRC010-O016;SRC013-O001;SRC029-O001,not_comparable,Not applicable.,no_transformation_required,retain_source_value_and_comparability_status,not_comparable,Separate source-specific description only.,Numerical gross-earnings comparison or pooled estimate.,SRC010 income layer is unspecified and reported as a distribution; IDEAS observations are explicit gross means.,Eligibility remains specific to this comparison use and must not be generalized to all observations from the same source or metric family.
S2C005,cross_period_mixed_daily_cost_amount,fuel plus food/drink daily cost bundle,SRC013;SRC029,SRC029-O005;SRC013-O002,comparable_with_transformation,Inflation-adjust nominal IDR/day to a common price period if comparing amounts.,deferred_not_currently_defensible,preserve_nominal_no_primary_real_value,not_eligible_for_primary_transformed_comparison,Caveated comparison of the source-defined mixed bundle after inflation treatment.,Treating the bundle as project operating cost or using it directly for project net operating earnings.,"The bundle includes food/drink, which is outside project operating costs; geography and purposive sample coverage differ.",Eligibility remains specific to this comparison use and must not be generalized to all observations from the same source or metric family.
S2C006,cross_period_mixed_cost_share,fuel plus food/drink share of gross earnings,SRC013;SRC029,SRC029-O006;SRC013-O003,comparable_with_caveat,None required for the reported percentage itself.,no_transformation_required,retain_source_value_and_comparability_status,eligible_with_caveat,Caveated comparison of the source-defined bundle-to-gross ratio.,Calling the percentage project operating-cost share or applying it outside the source-defined bundle.,The source-defined bundle includes personal food/drink; geography and purposive sample coverage differ.,Eligibility remains specific to this comparison use and must not be generalized to all observations from the same source or metric family.
S2C007,seven_day_workweek_prevalence,share reporting exactly 7 workdays/week,SRC013;SRC029;SRC030,SRC030-O005;SRC029-O013;SRC013-O018,comparable_with_caveat,None.,no_transformation_required,retain_source_value_and_comparability_status,eligible_with_caveat,Sample-level descriptive comparison of exact seven-day workweek prevalence.,National prevalence trend or causal interpretation.,The 2020 and 2023 observations are Jabodetabek purposive samples; 2025 has broader purposive coverage. Survey periods and respondent composition differ.,Eligibility remains specific to this comparison use and must not be generalized to all observations from the same source or metric family.
S2C008,reported_twenty_percent_deduction_prevalence,share reporting a 20% application deduction,SRC013;SRC029,SRC029-O010;SRC013-O005,comparable_with_caveat,None.,no_transformation_required,retain_source_value_and_comparability_status,eligible_with_caveat,Sample-level comparison of reported 20% deduction prevalence.,Realized commission rate comparison; legal-compliance conclusion; transaction-level deduction estimate.,"Driver-reported categories are not transaction-level realized deductions; geography, period, and purposive samples differ.",Eligibility remains specific to this comparison use and must not be generalized to all observations from the same source or metric family.
S2C009,working_hours_mean_vs_distribution,source-reported working time,SRC013;SRC029;SRC030,SRC029-O009;SRC013-O017;SRC030-O002;SRC030-O003,not_comparable,Not applicable.,no_transformation_required,retain_source_value_and_comparability_status,not_comparable,Separate source-specific description.,Pooled mean working hours or direct prevalence comparison across nonmatching thresholds.,One source reports a mean while others report nonmatching distribution thresholds; all are generic source-reported working time rather than proven online/productive hours.,Eligibility remains specific to this comparison use and must not be generalized to all observations from the same source or metric family.
S2C010,working_hours_distribution_context,long-working-time prevalence,SRC013;SRC029;SRC030,SRC030-O002;SRC030-O003;SRC029-O011;SRC029-O014;SRC013-O017,context_only,None.,no_transformation_required,retain_source_value_and_comparability_status,context_only,Qualitative context that long source-reported working-time schedules appear in multiple studies.,Exact cross-source prevalence ranking or pooled percentage.,"Thresholds differ (>8, 12, 9-16, 61-112/week, 9-12/day); daily and weekly bases differ; samples and geographies differ.",Eligibility remains specific to this comparison use and must not be generalized to all observations from the same source or metric family.
