comparison_id,comparison_use,stage2_comparability_status,stage2_required_transformation,transformation_type,primary_transformation_eligibility,transformation_action,sensitivity_eligibility,evidence_gap,critical_caveats,allowed_use_after_stage3d,prohibited_use_after_stage3d,rationale
S2C001,cross_period_gross_daily_earnings,comparable_with_transformation,Inflation-adjust nominal IDR/day to a common price period using geographically compatible CPI where defensible.,inflation_adjustment,deferred_not_currently_defensible,preserve_nominal_no_primary_real_value,candidate_only_with_explicit_alternative_cpi_assumption,"A defensible observation-matched CPI chain is not yet available across the relevant period/geography and CPI-regime changes. The project must not direct-ratio 2012=100, 2018=100, and 2022=100 index levels.",The 2023 observation is a Jabodetabek purposive sample; the 2025 observation has broader purposive coverage with an internal 62/67-locality discrepancy. Sampling frames and geography differ.,Caveated comparison of source-sample gross daily earnings after documented inflation treatment.,National trend inference; direct welfare conclusion; unadjusted nominal level comparison.,"Inflation adjustment is conceptually required for level comparison, but the current evidence does not support a single primary transformation that simultaneously resolves price period, geography, sample scope, and CPI base/coverage transitions."
S2C002,within_src029_recalled_gross_trajectory,comparable_with_transformation,Inflation-adjust recalled nominal IDR/day values to a common price period if level comparison is performed.,inflation_adjustment,deferred_not_currently_defensible,preserve_nominal_no_primary_real_value,candidate_only_with_explicit_alternative_cpi_assumption,"A defensible observation-matched CPI chain is not yet available across the relevant period/geography and CPI-regime changes. The project must not direct-ratio 2012=100, 2018=100, and 2022=100 index levels.",All values are retrospective recall from longer-tenure respondents interviewed in 2023; they are not independent historical survey waves.,Caveated within-source recalled trajectory or sensitivity context.,"Treating 2018-2019, 2020-2021, and 2022-2023 as repeated cross-sections or panel waves.","Inflation adjustment is conceptually required for level comparison, but the current evidence does not support a single primary transformation that simultaneously resolves price period, geography, sample scope, and CPI base/coverage transitions."
S2C003,within_src010_income_distribution_over_time,comparable_with_caveat,None in Stage 2; nominal bracket thresholds cannot be converted to real-income brackets without microdata.,none,no_transformation_required,retain_source_value_and_comparability_status,not_applicable,,Income layer is unspecified; pre-pandemic and pandemic values are retrospective recall; fixed nominal brackets do not represent constant purchasing-power thresholds.,Within-source comparison of reported nominal income-category distributions with explicit recall and bracket caveats.,Mapping to gross/net earnings; real-income distribution comparison; independent-wave interpretation.,The Stage 2 comparability assessment does not require a numerical transformation for this use.
S2C004,src010_vs_explicit_gross_earnings,not_comparable,Not applicable.,none,no_transformation_required,retain_source_value_and_comparability_status,not_applicable,,SRC010 income layer is unspecified and reported as a distribution; IDEAS observations are explicit gross means.,Separate source-specific description only.,Numerical gross-earnings comparison or pooled estimate.,The Stage 2 comparability assessment does not require a numerical transformation for this use.
S2C005,cross_period_mixed_daily_cost_amount,comparable_with_transformation,Inflation-adjust nominal IDR/day to a common price period if comparing amounts.,inflation_adjustment,deferred_not_currently_defensible,preserve_nominal_no_primary_real_value,candidate_only_with_explicit_alternative_cpi_assumption,"A defensible observation-matched CPI chain is not yet available across the relevant period/geography and CPI-regime changes. The project must not direct-ratio 2012=100, 2018=100, and 2022=100 index levels.","The bundle includes food/drink, which is outside project operating costs; geography and purposive sample coverage differ.",Caveated comparison of the source-defined mixed bundle after inflation treatment.,Treating the bundle as project operating cost or using it directly for project net operating earnings.,"Inflation adjustment is conceptually required for level comparison, but the current evidence does not support a single primary transformation that simultaneously resolves price period, geography, sample scope, and CPI base/coverage transitions."
S2C006,cross_period_mixed_cost_share,comparable_with_caveat,None required for the reported percentage itself.,none,no_transformation_required,retain_source_value_and_comparability_status,not_applicable,,The source-defined bundle includes personal food/drink; geography and purposive sample coverage differ.,Caveated comparison of the source-defined bundle-to-gross ratio.,Calling the percentage project operating-cost share or applying it outside the source-defined bundle.,The Stage 2 comparability assessment does not require a numerical transformation for this use.
S2C007,seven_day_workweek_prevalence,comparable_with_caveat,None.,none,no_transformation_required,retain_source_value_and_comparability_status,not_applicable,,The 2020 and 2023 observations are Jabodetabek purposive samples; 2025 has broader purposive coverage. Survey periods and respondent composition differ.,Sample-level descriptive comparison of exact seven-day workweek prevalence.,National prevalence trend or causal interpretation.,The Stage 2 comparability assessment does not require a numerical transformation for this use.
S2C008,reported_twenty_percent_deduction_prevalence,comparable_with_caveat,None.,none,no_transformation_required,retain_source_value_and_comparability_status,not_applicable,,"Driver-reported categories are not transaction-level realized deductions; geography, period, and purposive samples differ.",Sample-level comparison of reported 20% deduction prevalence.,Realized commission rate comparison; legal-compliance conclusion; transaction-level deduction estimate.,The Stage 2 comparability assessment does not require a numerical transformation for this use.
S2C009,working_hours_mean_vs_distribution,not_comparable,Not applicable.,none,no_transformation_required,retain_source_value_and_comparability_status,not_applicable,,One source reports a mean while others report nonmatching distribution thresholds; all are generic source-reported working time rather than proven online/productive hours.,Separate source-specific description.,Pooled mean working hours or direct prevalence comparison across nonmatching thresholds.,The Stage 2 comparability assessment does not require a numerical transformation for this use.
S2C010,working_hours_distribution_context,context_only,None.,none,no_transformation_required,retain_source_value_and_comparability_status,not_applicable,,"Thresholds differ (>8, 12, 9-16, 61-112/week, 9-12/day); daily and weekly bases differ; samples and geographies differ.",Qualitative context that long source-reported working-time schedules appear in multiple studies.,Exact cross-source prevalence ranking or pooled percentage.,The Stage 2 comparability assessment does not require a numerical transformation for this use.
S2C011,orders_per_day_cross_source,not_comparable,Not applicable.,none,no_transformation_required,retain_source_value_and_comparability_status,not_applicable,,SRC029 reports a mean; SRC013 reports selected brackets and does not provide complete microdata for mean reconstruction.,Separate source-specific workload description.,Direct mean comparison or reconstructed mean from incomplete bracket shares.,The Stage 2 comparability assessment does not require a numerical transformation for this use.
S2C012,distance_per_day_cross_source,not_comparable,Not applicable.,none,no_transformation_required,retain_source_value_and_comparability_status,not_applicable,,SRC029 reports a mean; SRC013 reports selected brackets; distance basis is unresolved as paid-trip versus total work-related distance.,Separate source-specific distance description with basis caveat.,Fuel-cost allocation using these values as total work distance; direct mean comparison.,The Stage 2 comparability assessment does not require a numerical transformation for this use.
S2C013,source_defined_net_income_cross_source,not_comparable,Not applicable.,none,no_transformation_required,retain_source_value_and_comparability_status,not_applicable,,SRC030 cost basis is unresolved; SRC013 net subtracts a mixed fuel-plus-food/drink bundle; one is a daily distribution and the other a monthly source estimate.,Separate description of each source-defined net concept.,Project net operating earnings comparison or time-basis conversion as if definitions matched.,The Stage 2 comparability assessment does not require a numerical transformation for this use.
S2C014,bonus_evidence_cross_source,not_comparable,Not applicable.,none,no_transformation_required,retain_source_value_and_comparability_status,not_applicable,,SRC013 measures program availability and receipt frequency; SRC017 measures ever/never receipt experience. Denominators also differ or are unresolved.,Separate source-specific incentive context.,Direct bonus-prevalence comparison or monetary incentive inference.,The Stage 2 comparability assessment does not require a numerical transformation for this use.
S2C015,commission_perception_vs_reported_deduction,context_only,None.,none,no_transformation_required,retain_source_value_and_comparability_status,not_applicable,,SRC017 contains stated preference/perception; SRC013/SRC029 contain driver-reported deduction categories; none are matched transaction evidence.,Contextual comparison of evidence layers while keeping them separate.,Converting preferences or perceptions into realized deduction estimates.,The Stage 2 comparability assessment does not require a numerical transformation for this use.
S2C016,project_net_operating_earnings_reconstruction,not_comparable,Not applicable in Stage 2.,none,no_transformation_required,retain_source_value_and_comparability_status,not_applicable,,Available cost observations are mixed fuel-plus-food/drink bundles and the same-observation chain does not include complete operating costs and realized deductions.,Evidence-gap documentation only.,Constructing project net operating earnings from these components.,The Stage 2 comparability assessment does not require a numerical transformation for this use.
S2C017,regulatory_or_platform_policy_vs_realized_deduction,context_only,Scope and effective-date matching would be required in later regulatory reconciliation.,regulatory_scope_reconciliation,not_a_numeric_transformation,require_scope_and_effective_date_matching_later,not_applicable,"Regulatory, platform-stated, and driver-reported deduction layers require service, effective-date, geography, and evidence-layer reconciliation rather than numerical rescaling.",Standardized driver evidence is self-reported; Stage 2 reference inputs are normative/platform-stated rather than matched realized transactions.,Layered regulatory context and later reconciliation with explicit evidence labels.,Legal compliance conclusion or assumption that ceilings/stated rates equal realized deductions.,"This comparison requires evidence-layer matching, not an arithmetic transformation."
